"__uniqueid__"	"_match_text_"	"_path_"	"_concept_"	"keywords"	"concept_type"	"Fact_ID"	"fact_argument_acq"	"fact_argument_country"	"fact_argument_inc"	"fact_argument_kyc"	"fact_argument_ra"	"fact_argument_st"	"Obs_ID"	"total_sentences"	"fileName"	"_sentence_id_"	"_start_"	"_end_"
"         404"	"Initial screening via our automated Risk Scoring Engine (version 3.2) assigned Nevis a composite risk score of 0.78/1.0, elevating it from ""Medium"" to ""High Risk"" status."	"nlpNounGroup"	"nlpNounGroup"	"risk score | Initial screening"	"Concept"	"           ."	""	""	""	""	""	""	"NevisEnergyPartnersLLC.d_000000000000004"	"          79"	"Nevis Energy Partners LLC.docx"	"          76"	"         764"	"         933"
"         404"	"Initial screening via our automated Risk Scoring Engine (version 3.2) assigned Nevis a composite risk score of 0.78/1.0, elevating it from ""Medium"" to ""High Risk"" status."	"risk_amplifiers"	"risk_amplifiers"	"High"	"Concept"	"           ."	""	""	""	""	""	""	"NevisEnergyPartnersLLC.d_000000000000004"	"          79"	"Nevis Energy Partners LLC.docx"	"          76"	"         764"	"         933"
"         404"	"Initial screening via our automated Risk Scoring Engine (version 3.2) assigned Nevis a composite risk score of 0.78/1.0, elevating it from ""Medium"" to ""High Risk"" status."	"InitialScreening"	"InitialScreening"	"Initial screening"	"Concept"	"           ."	""	""	""	""	""	""	"NevisEnergyPartnersLLC.d_000000000000004"	"          79"	"Nevis Energy Partners LLC.docx"	"          76"	"         764"	"         933"
"         703"	"The Enterprise Risk Scoring Engine assigned an initial composite risk score 
of 0.81/1.0(""High Risk""), driven primarily by:"	"risk_amplifiers"	"risk_amplifiers"	"High"	"Concept"	"           ."	""	""	""	""	""	""	"RLKSystemsInc.pdf_000000000000007"	"         201"	"RLK Systems Inc.pdf"	"         195"	"         775"	"         897"
"         703"	"The Enterprise Risk Scoring Engine assigned an initial composite risk score 
of 0.81/1.0(""High Risk""), driven primarily by:"	"nlpNounGroup"	"nlpNounGroup"	"risk score"	"Concept"	"           ."	""	""	""	""	""	""	"RLKSystemsInc.pdf_000000000000007"	"         201"	"RLK Systems Inc.pdf"	"         195"	"         775"	"         897"
"        1801"	"Analysis: Post-PE buyout, Fortress Capital acquired 35% voting control, with two co-investors 
(undisclosed family offices) holding an additional 15% combined."	"acquisition_references"	"acquisition_references"	"acquired"	"Concept"	"           ."	""	""	""	""	""	""	"NevisEnergyPartnersLLC.p_000000000000018"	"          78"	"Nevis Energy Partners LLC.pdf"	"          61"	"        2569"	"        2727"
"        1801"	"Analysis: Post-PE buyout, Fortress Capital acquired 35% voting control, with two co-investors 
(undisclosed family offices) holding an additional 15% combined."	"nlpPercent"	"nlpPercent"	"35% | 15%"	"Concept"	"           ."	""	""	""	""	""	""	"NevisEnergyPartnersLLC.p_000000000000018"	"          78"	"Nevis Energy Partners LLC.pdf"	"          61"	"        2569"	"        2727"
"        1801"	"Analysis: Post-PE buyout, Fortress Capital acquired 35% voting control, with two co-investors 
(undisclosed family offices) holding an additional 15% combined."	"nlpNounGroup"	"nlpNounGroup"	"family offices | Post-PE buyout"	"Concept"	"           ."	""	""	""	""	""	""	"NevisEnergyPartnersLLC.p_000000000000018"	"          78"	"Nevis Energy Partners LLC.pdf"	"          61"	"        2569"	"        2727"
"        1801"	"Analysis: Post-PE buyout, Fortress Capital acquired 35% voting control, with two co-investors 
(undisclosed family offices) holding an additional 15% combined."	"Extract_incorporation_references"	"Extract_incorporation_references"	"acquired"	"Fact"	"           2"	""	""	"acquired"	""	""	""	"NevisEnergyPartnersLLC.p_000000000000018"	"          78"	"Nevis Energy Partners LLC.pdf"	"          61"	"        2569"	"        2727"
"        1801"	"Analysis: Post-PE buyout, Fortress Capital acquired 35% voting control, with two co-investors 
(undisclosed family offices) holding an additional 15% combined."	"Extract_acquisition_references"	"Extract_acquisition_references"	"acquired"	"Fact"	"           1"	"acquired"	""	""	""	""	""	"NevisEnergyPartnersLLC.p_000000000000018"	"          78"	"Nevis Energy Partners LLC.pdf"	"          61"	"        2569"	"        2727"
